ID RCTI	00`a01100.m3u8
CA121:Isuma TV	00`d0030193.m3u8
CA122:Global Edmonton	00`d0030192.m3u8
CA123:W Network	00`d0030191.m3u8
CA124:Discovery Science HD	00`d0030190.m3u8
CA125:MovieTime	00`d0030189.m3u8
CA126:Super Sports CH 477	00`d0030188.m3u8
CA128:CTV Sci-Fi	00`d0030186.m3u8
CA129:Evasion (FR)	00`d0030185.m3u8
CA130:Family CHRGD	00`d0030184.m3u8
CA131:Family Jr	00`d0030183.m3u8
CA132:Fight Network HD	00`d0030182.m3u8
CA133:Fox News HD	00`d0030181.m3u8
CA134:FOX Sports Racing	00`d0030180.m3u8
CA135:CBC Fredericton	00`d0030179.m3u8
CA136:Bein Sports HD	00`d0030178.m3u8
CA137:Global Toronto	00`d0030177.m3u8
CA138:Global Vancouver	00`d0030176.m3u8
CA139:GOLF HD	00`d0030175.m3u8
CA140:MIRACLE	00`d0030174.m3u8
CA141:Adult Swim HD	00`d0030173.m3u8
CA142:MOONBUG	00`d0030172.m3u8
CA143:Love Nature	00`d0030171.m3u8
CA144:ICI Tele Montreal (FR)	00`d0030170.m3u8
CA145:CTV2 Barrie	00`d0030169.m3u8
CA146:IFC	00`d0030168.m3u8
CA148:(FR) SERIES Plus SD	00`d0030166.m3u8
CA149:(FR) Historia	00`d0030165.m3u8
CA150:MAX	00`d0030164.m3u8
CA151:Meteo Media (FR)	00`d0030163.m3u8
CA152:EVASION (FR)	00`d0030162.m3u8
CA153:CTV Drama	00`d0030161.m3u8
CA154:ADDIK TV (FR)	00`d0030160.m3u8
CA156:W Network	00`d0030158.m3u8
CA157:MOI et CIE	00`d0030157.m3u8
CA159:CTV HALIFAX	00`d0030155.m3u8
CA160:Game Plus	00`d0030154.m3u8
CA161:NOSEY	00`d0030153.m3u8
CA162:Wild TV	00`d0030152.m3u8
CA163:Super Sports CH 474	00`d0030151.m3u8
CA164:CTV MONTREAL	00`d0030150.m3u8
CA166:TELE QUEBEC (FR)	00`d0030148.m3u8
CA167:TFO (FR)	00`d0030147.m3u8
CA168:CTV2 London	00`d0030146.m3u8
CA169:TMN2E (CRAVE TV 2)	00`d0030145.m3u8
CA170:TMN3E (CRAVE TV 3)	00`d0030144.m3u8
CA171:TMN4E (CRAVE TV 4)	00`d0030143.m3u8
CA172:TV5 QUEBEC HD	00`d0030142.m3u8
CA173:MTV	00`d0030141.m3u8
CA174:OMNI 1 HD	00`d0030140.m3u8
CA175:OMNI 2 HD	00`d0030139.m3u8
CA176:Canada One	00`d0030138.m3u8
CA177:TVA QUEBEC	00`d0030137.m3u8
CA178:Peachtree	00`d0030136.m3u8
CA179:PRISE (FR)	00`d0030135.m3u8
CA180:Super Sports CH 476	00`d0030134.m3u8
CA181:Global Maritimes	00`d0030133.m3u8
CA182:RDS 2	00`d0030132.m3u8
CA183:EWTN (FR)	00`d0030131.m3u8
CA185:The Shopping Channel	00`d0030129.m3u8
CA186:Silver Screen Classics	00`d0030128.m3u8
CA187:Paramount Network HD	00`d0030127.m3u8
CA188:Sportnet Pacific HD	00`d0030126.m3u8
CA189:SUPER ECRAN 1	00`d0030125.m3u8
CA190:SUPER ECRAN 2	00`d0030124.m3u8
CA191:SUPER ECRAN 3	00`d0030123.m3u8
CA192:SUPER ECRAN 4	00`d0030122.m3u8
CA194:ZESTE (FR)	00`d0030120.m3u8
CA195:CBC Yellowknife NT	00`d0030119.m3u8
CA196:Global Kingston	00`d0030118.m3u8
CA197:Teletoon	00`d0030117.m3u8
CA198:CBC Regina	00`d0030116.m3u8
CA199:NBC (wycn) Nashua	00`d0030115.m3u8
CA200:NBC 8 (wycn) Boston	00`d0030114.m3u8
CA201:Prise 2	00`d0030113.m3u8
CA202:Makeful	00`d0030112.m3u8
CA203:MLB Network HD	00`d0030111.m3u8
CA204:CBC Halifax	00`d0030110.m3u8
CA205:Global Halifax	00`d0030109.m3u8
CA206:Global News Winnipeg	00`d0030108.m3u8
CA207:CBC Windsor	00`d0030107.m3u8
CA208:UNIS TV	00`d0030106.m3u8
CA209:Nicktoon	00`d0030105.m3u8
CA210:Hollywood Suite 70's	00`d0030104.m3u8
CA211:FX FHD	00`d0030103.m3u8
CA212:Rogers TV London	00`d0030102.m3u8
CA213:SALT	00`d0030101.m3u8
CA214:CBC Calgary	00`d0030100.m3u8
CA215:City Calgary	00`d0030099.m3u8
CA216:CTV Calgary	00`d0030098.m3u8
CA217:Global Calgary	00`d0030097.m3u8
CA218:Global Montreal	00`d0030096.m3u8
CA219:Super Channel Heart & Home	00`d0030095.m3u8
CA220:RDS INFO	00`d0030094.m3u8
CA221:CBC Winnipeg	00`d0059195.m3u8
CA223:Nickelodeon	00`d0059196.m3u8
CA222:(FR) NOOVO	00`d0059197.m3u8
CA224:TVA Sports 2	00`d0065933.m3u8
CA225:Rogers TV Bathurst	00`d0049994.m3u8
-----|24/7|-----	^--
24/7 086:INDIANA JONES	00`d0060856.m3u8
24/7 085:HORROR MOVIES	00`d0060857.m3u8
24/7 084:HARRY POTTER	00`d0060858.m3u8
24/7 083:GREASE	00`d0060859.m3u8
24/7 082:FIFTY SHADES	00`d0060860.m3u8
24/7 081:FAST AND FURIOUS	00`d0060861.m3u8
24/7 080:FAMILY MOVIES	00`d0060862.m3u8
24/7 079:DIE HARD	00`d0060863.m3u8
24/7 078:CRIME MOVIES	00`d0060864.m3u8
24/7 077:BRUCE LEE MOVIES	00`d0060865.m3u8
24/7 076:CLINT EASTWOOD	00`d0060866.m3u8
24/7 075:BOXING MOVIES	00`d0060867.m3u8
24/7 074:BLADE MOVIES	00`d0060868.m3u8
24/7 073:BATMAN MOVIES	00`d0060869.m3u8
24/7 072:BACK TO THE FUTURE	00`d0060870.m3u8
24/7 071:ARNOLD SCHWARZENEGGER	00`d0060871.m3u8
24/7 070:AL PACINO	00`d0060872.m3u8
24/7 069:ADAM SANDLER	00`d0060873.m3u8
24/7 068:X-MEN CARTOONS	00`d0060874.m3u8
24/7 067:ROB ZOMBIE MOVIES	00`d0060875.m3u8
24/7 066:TRANSFORMERS CARTOONS	00`d0060876.m3u8
24/7 065:TOY STORY	00`d0060877.m3u8
24/7 064:TOM AND JERRY	00`d0060878.m3u8
24/7 063:TMNT	00`d0060879.m3u8
24/7 062:THOMAS AND FRIENDS	00`d0060880.m3u8
24/7 061:EVERYBODY HATES CHRIS	00`d0060881.m3u8
24/7 060:THE PINK PANTHER	00`d0060882.m3u8
24/7 059:THE GARFIELD SHOW	00`d0060883.m3u8
24/7 058:THE FLINTSTONES	00`d0060884.m3u8
24/7 057:SAVED BY THE BELL	00`d0060885.m3u8
24/7 056:THE BATMAN	00`d0060886.m3u8
24/7 055:TEEN TITANS GO!	00`d0060887.m3u8
24/7 054:SUPER WINGS	00`d0060888.m3u8
24/7 053:KUNG FU PANDA	00`d0060889.m3u8
24/7 052:EXPEDITION UNKNOWN	00`d0060890.m3u8
24/7 051:STAR WARS THE CLONE WARS	00`d0060891.m3u8
24/7 050:STAR WARS REBELS	00`d0060892.m3u8
24/7 049:SPONGEBOB SQUARE PANTS	00`d0060893.m3u8
24/7 048:SCI-FI MOVIES	00`d0060894.m3u8
24/7 047:SPIDERMAN	00`d0060895.m3u8
24/7 046:SCOOBY-DOO CLASSIC	00`d0060896.m3u8
24/7 045:SCOOBY-DOO	00`d0060897.m3u8
24/7 044:SPONGEBOB SQUAREPANTS	00`d0060898.m3u8
24/7 043:RUGRATS	00`d0060899.m3u8
24/7 042:PUPPY DOG PALS	00`d0060900.m3u8
24/7 041:POWER RANGERS	00`d0060901.m3u8
24/7 040:POKEMON	00`d0060902.m3u8
24/7 039:PJ MASKS	00`d0060903.m3u8
24/7 038:PINKY AND THE BRAIN	00`d0060904.m3u8
24/7 037:THE SMURFS	00`d0060905.m3u8
24/7 036:PEPPA PIG	00`d0060906.m3u8
24/7 035:PAW PATROL	00`d0060907.m3u8
24/7 034:MY LITTLE PONY	00`d0060908.m3u8
24/7 033:MUPPET BABIES SHOW	00`d0060909.m3u8
24/7 032:MR BEAN ANIMATED	00`d0060910.m3u8
24/7 031:MICKEY MOUSE CLUBHOUSE	00`d0060911.m3u8
24/7 030:MARVEL AVENGERS ASSEMBLE	00`d0060912.m3u8
24/7 029:MCMILLAN AND WIFE	00`d0060913.m3u8
24/7 028:LOONEY TUNES	00`d0060914.m3u8
24/7 027:LITTLE EINSTEINS	00`d0060915.m3u8
24/7 026:LEGO STAR WARS	00`d0060916.m3u8
24/7 025:JOHNY TEST	00`d0060917.m3u8
24/7 024:MORTAL KOMBAT	00`d0060918.m3u8
24/7 023:THE PJS	00`d0060919.m3u8
24/7 022:FRAGGLE ROCK	00`d0060920.m3u8
24/7 021:ELENA OF AVALOR	00`d0060921.m3u8
24/7 020:DUCK TALES	00`d0060922.m3u8
24/7 019:DREAMWORKS ANIMATION	00`d0060923.m3u8
24/7 018:DRAGON BALL Z	00`d0060924.m3u8
24/7 017:CHICAGO MED	00`d0060925.m3u8
24/7 016:DORA THE EXPLORER	00`d0060926.m3u8
24/7 015:DISNEY SONGS	00`d0060927.m3u8
24/7 014:DISNEY MOVIES	00`d0060928.m3u8
24/7 013:PARTS UNKNOWN	00`d0060929.m3u8
24/7 012:AMERICAN PICKERS	00`d0060930.m3u8
24/7 011:CAPTAIN PLANET AND THE PLANETEERS	00`d0060931.m3u8
24/7 010:BLUEY	00`d0060932.m3u8
24/7 009:BLUE'S CLUES	00`d0060933.m3u8
24/7 008:BLAZE AND THE MONSTER MACHINES	00`d0060934.m3u8
24/7 007:BEN 10	00`d0060935.m3u8
24/7 006:BATMAN THE ANIMATED SERIES	00`d0060936.m3u8
24/7 005:BATMAN BRAVE AND THE BOLD	00`d0060937.m3u8
24/7 004:BARNEY	00`d0060938.m3u8
24/7 003:A HAUNTING	00`d0060939.m3u8
24/7 002:AVATAR	00`d0060940.m3u8
24/7 001:ADVENTURE TIME	00`d0060941.m3u8
24/7 186:FAMILY MATTERS	00`d0060143.m3u8
24/7 185:FAMILY GUY	00`d0060146.m3u8
24/7 184:ROBIN WILLIAMS	00`d0060147.m3u8
24/7 183:F-TROOP	00`d0060151.m3u8
24/7 182:EVERYBODY LOVES RAYMOND	00`d0060152.m3u8
24/7 181:ENTOURAGE	00`d0060153.m3u8
24/7 180:ELLEN'S GAME OF GAMES	00`d0060155.m3u8
24/7 179:DUKES OF HAZARD	00`d0060156.m3u8
24/7 178:DUCK DYNASTY	00`d0060160.m3u8
24/7 177:DRUG WARS	00`d0060161.m3u8
24/7 176:ROBOT CHICKEN	00`d0060163.m3u8
24/7 175:SABRINA THE TEENAGE WITCH	00`d0060165.m3u8
24/7 174:THE ALFRED HITCHCOCK HOUR	00`d0060166.m3u8
24/7 173:DOG THE BOUNTY HUNTER	00`d0060167.m3u8
24/7 172:DINOSAURS	00`d0060169.m3u8
24/7 171:DINERS, DRIVE-INS AND DIVES	00`d0060170.m3u8
24/7 170:DIFF'RENT STROKES	00`d0060171.m3u8
24/7 110:STAR WARS	00`d0060832.m3u8
24/7 109:STAR TREK MOVIES	00`d0060833.m3u8
24/7 108:SPORTS MOVIES	00`d0060834.m3u8
24/7 107:QUENTIN TARANTINO MOVIES	00`d0060835.m3u8
24/7 106:SCIFI MOVIES	00`d0060836.m3u8
24/7 105:RUSH HOUR	00`d0060837.m3u8
24/7 104:ROMANCE MOVIES	00`d0060838.m3u8
24/7 103:ROCKY	00`d0060839.m3u8
24/7 102:RAMBO	00`d0060840.m3u8
24/7 101:POLICE ACADEMY	00`d0060841.m3u8
24/7 100:PREDATOR/ALIEN MOVIES	00`d0060842.m3u8
24/7 099:PLANET OF THE APES	00`d0060843.m3u8
24/7 098:PIRATES OF THE CARIBBEAN	00`d0060844.m3u8
24/7 097:TEXAS CHAINSAW MOVIES	00`d0060845.m3u8
24/7 096:MEN IN BLACK	00`d0060846.m3u8
24/7 095:MATRIX	00`d0060847.m3u8
24/7 094:LORD OF THE RINGS	00`d0060848.m3u8
24/7 093:LETHAL WEAPON	00`d0060849.m3u8
24/7 092:FRIDAY THE 13TH	00`d0060850.m3u8
24/7 091:JURASSIC PARK	00`d0060851.m3u8
24/7 090:JIM CARREY	00`d0060852.m3u8
24/7 089:JCVD MOVIES	00`d0060853.m3u8
24/7 088:JASON BOURNE	00`d0060854.m3u8
24/7 087:JAMES BOND	00`d0060855.m3u8
24/7 113:THE AVENGERS	00`d0060256.m3u8
24/7 114:MAGNUM PI	00`d0060255.m3u8
24/7 115:THE HANGOVER	00`d0060254.m3u8
24/7 116:THRILLER MOVIES	00`d0060253.m3u8
24/7 117:TRANSFORMERS	00`d0060252.m3u8
24/7 118:TRANSPORTER	00`d0060251.m3u8
24/7 119:TWILIGHT	00`d0060250.m3u8
24/7 120:VAMPIRE MOVIES	00`d0060248.m3u8
24/7 121:WAR MOVIES	00`d0060247.m3u8
24/7 122:WILL FERRELL MOVIES	00`d0060246.m3u8
24/7 123:X-MEN	00`d0060244.m3u8
24/7 124:21 JUMP STREET	00`d0060243.m3u8
24/7 125:24 HOURS IN POLICE CUSTODY	00`d0060242.m3u8
24/7 126:3RD ROCK FROM THE SUN	00`d0060241.m3u8
24/7 127:60 DAYS IN	00`d0060240.m3u8
24/7 128:90210	00`d0060239.m3u8
24/7 129:A DIFFERENT WORLD	00`d0060238.m3u8
24/7 111:STEVEN SEAGAL	00`d0060258.m3u8
24/7 112:SUPERHERO MOVIES	00`d0060257.m3u8
24/7 130:ACCORDING TO JIM	00`d0060237.m3u8
24/7 131:ALF	00`d0060234.m3u8
24/7 132:ALICE	00`d0060232.m3u8
24/7 133:AMERICAN CHOPPER	00`d0060231.m3u8
24/7 135:ANCIENT ALIENS	00`d0060224.m3u8
24/7 136:ARCHER	00`d0060222.m3u8
24/7 137:ARE YOU AFRAID OF THE DARK	00`d0060220.m3u8
24/7 138:ARRESTED DEVELOPMENT	00`d0060218.m3u8
24/7 139:BAR RESCUE	00`d0060216.m3u8
24/7 140:BARNEY MILLER	00`d0060215.m3u8
24/7 141:BATMAN 1966	00`d0060213.m3u8
24/7 142:A NIGHTMARE ON ELM STREET	00`d0060211.m3u8
24/7 143:BAYWATCH	00`d0060210.m3u8
24/7 144:BEAVIS AND BUTTHEAD	00`d0060208.m3u8
24/7 134:AMERICAN DAD	00`d0060225.m3u8
24/7 145:ACTION MOVIES	00`d0060207.m3u8
24/7 146:BEWITCHED	00`d0060205.m3u8
24/7 147:BILLY THE EXTERMINATOR	00`d0060203.m3u8
24/7 148:BLUE BLOODS	00`d0060202.m3u8
24/7 149:BOBS BURGERS	00`d0060201.m3u8
24/7 150:BONANZA	00`d0060199.m3u8
24/7 151:BORDER SECURITY	00`d0060197.m3u8
24/7 152:BOY MEETS WORLD	00`d0060196.m3u8
24/7 153:BRADY BUNCH	00`d0060195.m3u8
24/7 154:BREAKING BAD	00`d0060192.m3u8
24/7 155:BROOKLYN NINE-NINE	00`d0060191.m3u8
24/7 156:BUFFY THE VAMPIRE SLAYER	00`d0060190.m3u8
24/7 157:BURN NOTICE	00`d0060189.m3u8
24/7 158:CHAPPELLE'S SHOW	00`d0060188.m3u8
24/7 159:CHARMED	00`d0060187.m3u8
24/7 160:CHEERS	00`d0060186.m3u8
24/7 161:COLUMBO	00`d0060185.m3u8
24/7 162:CRIMINAL MINDS	00`d0060184.m3u8
24/7 163:CURB YOUR ENTHUSIASM	00`d0060180.m3u8
24/7 164:DA ALI G SHOW	00`d0060179.m3u8
24/7 165:DALLAS	00`d0060177.m3u8
24/7 166:DEADLIEST CATCH	00`d0060176.m3u8
24/7 167:DEGRASSI JUNIOR HIGH	00`d0060175.m3u8
24/7 168:SIMPSONS TREEHOUSE OF HORROR	00`d0060173.m3u8
24/7 169:JET LI MOVIES	00`d0060172.m3u8
24/7 187:FAMILY TIES	00`d0060141.m3u8
24/7 188:FANTASY ISLAND	00`d0060140.m3u8
24/7 189:FEAR FACTOR	00`d0060139.m3u8
24/7 190:FORENSIC FILES	00`d0060138.m3u8
24/7 191:FORGED IN FIRE	00`d0060137.m3u8
24/7 192:FRASIER	00`d0060136.m3u8
24/7 193:FRESH PRINCE OF BEL-AIR	00`d0060135.m3u8
24/7 194:FRIENDS	00`d0060133.m3u8
24/7 195:FULL HOUSE	00`d0060132.m3u8
24/7 196:GAME OF THRONES	00`d0060131.m3u8
24/7 197:GANGLAND	00`d0060128.m3u8
24/7 198:GANGLAND UNDERCOVER	00`d0060127.m3u8
24/7 199:GET SMART	00`d0060126.m3u8
24/7 200:GHOST ADVENTURES	00`d0060125.m3u8
24/7 201:GILLIGAN'S ISLAND	00`d0060124.m3u8
24/7 202:GILMORE GIRLS	00`d0060123.m3u8
24/7 203:EDDY MURPHY	00`d0060122.m3u8
24/7 204:GODFATHER OF HARLEM	00`d0060121.m3u8
24/7 205:THAT GIRL	00`d0060120.m3u8
24/7 206:GOLD RUSH	00`d0060119.m3u8
24/7 207:GOOD TIMES	00`d0060118.m3u8
24/7 208:GOOSEBUMPS	00`d0060111.m3u8
24/7 209:GROWING PAINS	00`d0060110.m3u8
24/7 210:GUNSMOKE	00`d0060108.m3u8
24/7 211:HAPPY DAYS	00`d0060107.m3u8
24/7 212:HAPPY ENDINGS	00`d0060106.m3u8
24/7 213:HARDCORE PAWN	00`d0060105.m3u8
24/7 214:HE-MAN MASTERS OF UNIVERSE	00`d0060104.m3u8
24/7 215:CHIPS	00`d0060103.m3u8
24/7 216:HOARDERS	00`d0060102.m3u8
24/7 217:HOGAN'S HEROES	00`d0060100.m3u8
24/7 218:HOME IMPROVEMENT	00`d0060099.m3u8
24/7 219:HOW I MET YOUR MOTHER	00`d0060097.m3u8
24/7 220:HOW IT’S MADE	00`d0060095.m3u8
24/7 221:I DREAM OF JEANNIE	00`d0060094.m3u8
24/7 222:I LOVE LUCY	00`d0060091.m3u8
24/7 223:IMPRACTICAL JOKERS	00`d0060088.m3u8
24/7 224:IN LIVING COLOR	00`d0060087.m3u8
24/7 225:INCREDIBLE HULK	00`d0060086.m3u8
24/7 226:INK MASTERS	00`d0060085.m3u8
24/7 227:COBRA KAI	00`d0060084.m3u8
24/7 228:JUST FOR LAUGHS	00`d0060083.m3u8
24/7 229:KEEPING UP WITH THE KARDASHIANS	00`d0060081.m3u8
24/7 230:KING OF THE HILL	00`d0060080.m3u8
24/7 231:KITCHEN NIGHTMARES	00`d0060079.m3u8
24/7 232:KNIGHT RIDER	00`d0060078.m3u8
24/7 233:LAST MAN STANDING	00`d0060077.m3u8
24/7 234:LIVING SINGLE	00`d0060076.m3u8
24/7 235:LIZARD LICK TOWING	00`d0060075.m3u8
24/7 236:LOST IN SPACE	00`d0060071.m3u8
24/7 237:M*A*S*H*	00`d0060070.m3u8
24/7 238:MAD ABOUT YOU	00`d0060069.m3u8
24/7 239:MAMA'S FAMILY	00`d0060068.m3u8
24/7 240:MAN WITH A PLAN	00`d0060067.m3u8
24/7 241:MARRIED WITH CHILDREN	00`d0060066.m3u8
24/7 242:MARTIN	00`d0060064.m3u8
24/7 243:MARY TYLER MOORE SHOW	00`d0060063.m3u8
24/7 244:MAYDAY	00`d0060062.m3u8
24/7 245:MIAMI VICE	00`d0060061.m3u8
24/7 246:MIKE & MOLLY	00`d0060059.m3u8
24/7 247:MELROSE PLACE	00`d0060058.m3u8
24/7 248:MODERN FAMILY	00`d0060057.m3u8
24/7 249:MOM	00`d0060056.m3u8
24/7 250:MOST EXPENSIVEST	00`d0060053.m3u8
24/7 251:MR BEAN	00`d0060052.m3u8
24/7 252:INTERVENTION	00`d0060050.m3u8
24/7 253:COMEDY MOVIES	00`d0060049.m3u8
24/7 254:MURDOCH MYSTERIES	00`d0060048.m3u8
24/7 255:CAR 54, WHERE ARE YOU!	00`d0060047.m3u8
24/7 256:MYTHBUSTERS	00`d0060044.m3u8
24/7 257:NAKED AND AFRAID	00`d0060043.m3u8
24/7 258:NEWHART	00`d0060042.m3u8
24/7 259:NIGHT COURT	00`d0060041.m3u8
24/7 260:SAW	00`d0060038.m3u8
24/7 261:OVERHAULING	00`d0060037.m3u8
24/7 262:OUTER LIMITS	00`d0060035.m3u8
24/7 263:PARKS AND RECREATION	00`d0060034.m3u8
24/7 264:PAWN STARS	00`d0060033.m3u8
24/7 265:PEAKY BLINDERS	00`d0060032.m3u8
24/7 266:PERFECT STRANGERS	00`d0060028.m3u8
24/7 267:PLANET EARTH	00`d0060026.m3u8
24/7 268:POWER	00`d0060025.m3u8
24/7 269:PRISON BREAK	00`d0060023.m3u8
24/7 270:QUANTUM LEAP	00`d0060022.m3u8
24/7 271:REBA	00`d0060021.m3u8
24/7 272:RED GREEN SHOW	00`d0060020.m3u8
24/7 273:RICK AND MORTY	00`d0060019.m3u8
24/7 274:RIDICULOUSNESS	00`d0060018.m3u8
24/7 275:ROSEANNE	00`d0060017.m3u8
24/7 276:MASTERCHEF	00`d0060016.m3u8
24/7 277:SEINFELD	00`d0060014.m3u8
24/7 278:SANFORD AND SON	00`d0060013.m3u8
24/7 279:SAVED BY THE BELL	00`d0060012.m3u8
24/7 280:SEX IN THE CITY	00`d0060011.m3u8
24/7 281:SCAM CITY	00`d0060010.m3u8
24/7 282:LAW & ORDER	00`d0060009.m3u8
24/7 283:SHARK TANK	00`d0060007.m3u8
24/7 284:SHE-RA: PRINCESS OF POWER	00`d0060005.m3u8
24/7 285:SHERLOCK	00`d0060004.m3u8
24/7 286:SIMPSONS	00`d0030265.m3u8
-----|France|-----	^--
FR001:13EME RUE HD	00`d002865.m3u8
FR002:6 TER HD	00`d002864.m3u8
FR003:A LA CARTE 1 HD	00`d002863.m3u8
FR004:A LA CARTE 2 HD	00`d002862.m3u8
FR005:A LA CARTE 3 HD	00`d002861.m3u8
FR006:A LA CARTE 4 HD	00`d002860.m3u8
FR007:A LA CARTE 5 HD	00`d002859.m3u8
FR008:A LA CARTE 6 HD	00`d002858.m3u8
FR009:A LA CARTE 7 HD	00`d002857.m3u8
FR010:A LA CARTE 8 HD	00`d002856.m3u8
FR011:A LA CARTE 9 HD	00`d002855.m3u8
FR012:A LA CARTE 10 HD	00`d002854.m3u8
FR013:A LA CARTE 13 HD	00`d002853.m3u8
FR014:AB 1 HD	00`d002852.m3u8
FR015:AB 3 HD	00`d002851.m3u8
FR016:AB EXPLORE HD	00`d002850.m3u8
FR017:ACTION FHD	00`d002849.m3u8
FR018:ALTICE STUDIO HD	00`d002848.m3u8
FR019:AMAZON PRIME 1 (MATCH TIME)	00`d002847.m3u8
FR020:AMAZON PRIME 2 (MATCH TIME)	00`d002846.m3u8
FR021:AMAZON PRIME 3 (MATCH TIME)	00`d002845.m3u8
FR022:AMAZON PRIME 4 (MATCH TIME)	00`d002844.m3u8
FR023:AMAZON PRIME 5 (MATCH TIME)	00`d002843.m3u8
FR024:AMAZON PRIME 6 (MATCH TIME)	00`d002842.m3u8
FR025:AMAZON PRIME 7 (MATCH TIME)	00`d002841.m3u8
FR026:ANIMAUX	00`d002840.m3u8
FR027:ARTE FHD	00`d002839.m3u8
FR028:AUTOMOTO LA CHAINE FHD	00`d002838.m3u8
FR029:BABY TV FHD	00`d002837.m3u8
FR030:BET HD	00`d002836.m3u8
FR031:BFM BUSINESS FHD	00`d002835.m3u8
FR032:BFM HD	00`d002834.m3u8
FR033:BFM PARIS FHD	00`d002833.m3u8
FR034:BOING FHD	00`d002832.m3u8
FR035:BOOMERANG FHD	00`d002831.m3u8
FR036:BEIN SPORTS 1 FHD	00`d002830.m3u8
FR037:BEIN SPORTS 2 FHD	00`d002829.m3u8
FR038:BEIN SPORTS 3 FHD	00`d002828.m3u8
FR039:BEIN SPORTS MAX 10 FHD (EVENT ONLY)	00`d002827.m3u8
FR040:BEIN SPORTS MAX 4 FHD (EVENT ONLY)	00`d002826.m3u8
FR041:BEIN SPORTS MAX 5 HD (EVENT ONLY)	00`d002825.m3u8
FR042:BEIN SPORTS MAX 6 HD (EVENT ONLY)	00`d002824.m3u8
FR043:BEIN SPORTS MAX 7 HD (EVENT ONLY)	00`d002823.m3u8
FR044:BEIN SPORTS MAX 8 HD (EVENT ONLY)	00`d002822.m3u8
FR045:BEIN SPORTS MAX 9 HD (EVENT ONLY)	00`d002821.m3u8
FR046:C NEWS FHD	00`d002820.m3u8
FR047:C STAR FHD	00`d002819.m3u8
FR048:C8 HD	00`d002818.m3u8
FR049:CANAL ALPHA FHD	00`d002817.m3u8
FR050:CANAL J FHD	00`d002816.m3u8
FR051:CANAL PLAY 1	00`d002815.m3u8
FR052:CANAL PLAY 2	00`d002814.m3u8
FR053:CANAL PLAY 3	00`d002813.m3u8
FR054:CANAL PLAY 4	00`d002812.m3u8
FR055:CANAL PLAY 5	00`d002811.m3u8
FR056:CANAL PLAY 6	00`d002810.m3u8
FR057:CANAL PLAY 7	00`d002809.m3u8
FR058:CANAL PLAY 8	00`d002808.m3u8
FR059:CANAL PLAY 9	00`d002807.m3u8
FR060:CANAL PLAY 10	00`d002806.m3u8
FR061:CANAL PLAY 13	00`d002805.m3u8
FR062:CANAL PLAY 15	00`d002804.m3u8
FR063:CANAL PLAY 16	00`d002803.m3u8
FR064:CANAL PLAY 17	00`d002802.m3u8
FR065:CANAL PLAY 18	00`d002801.m3u8
FR066:CANAL+ CINEMA FHD	00`d002800.m3u8
FR067:CANAL+ DECALE FHD	00`d002799.m3u8
FR068:CANAL+ DOCS FHD	00`d002798.m3u8
FR069:CANAL+ FAMILY	00`d002797.m3u8
FR070:CANAL+ FOOT	00`d002796.m3u8
FR071:CANAL+ GRAND ECRAN	00`d002795.m3u8
FR072:CANAL+ KIDS	00`d002794.m3u8
FR073:CANAL+ MOTOGP	00`d002793.m3u8
FR074:CANAL+ PL	00`d002792.m3u8
FR075:CANAL+ SERIES	00`d002791.m3u8
FR076:CANAL+ SPORT FHD	00`d002790.m3u8
FR077:CANAL+ SPORT 360	00`d002789.m3u8
FR078:CANAL+ TOP 14	00`d002788.m3u8
FR079:CANAL+	00`d002787.m3u8
FR080:CHASSE & PECHE	00`d002786.m3u8
FR081:CHERIE 25 HD	00`d002785.m3u8
FR082:CINE+ POLAR	00`d002784.m3u8
FR083:CINE+ CLASSIC HD	00`d002783.m3u8
FR084:CINE+ CLUB HD	00`d002782.m3u8
FR085:CINE+ EMOTION	00`d002781.m3u8
FR086:CINE+ FAMIZ FHD	00`d002780.m3u8
FR087:CINE+ FRISSON FHD	00`d002779.m3u8
FR088:CINE+ FX HD	00`d002778.m3u8
FR089:CINE+ PREMIER FHD	00`d002777.m3u8
FR090:CLIQUE TV	00`d002776.m3u8
FR092:COMEDIE+ HD	00`d002774.m3u8
FR093:COMEDY CENTRAL	00`d002773.m3u8
FR094:CRIME DISTRICT	00`d0028215.m3u8
FR095:DISCOVERY CHANNEL	00`d0028214.m3u8
FR096:DISCOVERY FAMILY	00`d0028213.m3u8
FR098:DISCOVERY INVESTIGATION	00`d0028211.m3u8
FR099:DISCOVERY SCI-FI	00`d0028208.m3u8
FR100:DISCOVERY SCIENCE	00`d0028207.m3u8
FR101:DISNEY CHANNEL	00`d0028206.m3u8
FR102:DISNEY JUNIOR HD	00`d0028205.m3u8
FR103:DISNEY XD	00`d0028204.m3u8
FR104:DISNEY CHANNEL+1	00`d0028203.m3u8
FR105:DISNEY CINEMA	00`d0028202.m3u8
FR106:DISNEY CINEMAGIC	00`d0028201.m3u8
FR107:DREAMWORK	00`d0028199.m3u8
FR108:E! ENTERTAINMENT	00`d0028196.m3u8
FR109:ELLE GIRL	00`d0028195.m3u8
FR110:EQUIDIA HD	00`d0028194.m3u8
FR111:EURONEWS	00`d0028193.m3u8
FR112:EUROSPORT 1	00`d0028192.m3u8
FR113:EUROSPORT 2	00`d0028191.m3u8
FR114:EUROSPORT 360 2	00`d0028190.m3u8
